Prototype,Time in Minutes
Extended AC3R, 18.41
Extended AC3R, 18.52
Extended AC3R, 18.48
Extended AC3R, 19.24
Extended AC3R, 19.54
Extended AC3R, 18.46
Extended AC3R, 18.56
Extended AC3R, 18.50
Extended AC3R, 18.43
Extended AC3R, 18.47
Extended AC3R, 19.25
Extended AC3R, 19.9
Extended AC3R, 20.4
Extended AC3R, 20.1
Extended AC3R, 19.6
Extended AC3R, 19.7
Extended AC3R, 20.6
Extended AC3R, 21.1
Extended AC3R, 21.3
Extended AC3R, 19.3
Extended AC3R, 19.2
Extended AC3R, 19.8
Extended AC3R, 20.6
Extended AC3R, 21.2
Extended AC3R, 20.1
Extended AC3R, 19.4
Extended AC3R, 20.9
Extended AC3R, 19.4
Extended AC3R, 20.1
Extended AC3R, 20.5
Extended AC3R, 18.25
Extended AC3R, 18.36
Extended AC3R, 18.40
Extended AC3R, 18.53
Extended AC3R, 19.0
Extended AC3R, 18.45
Extended AC3R, 18.5
Extended AC3R, 18.6
Extended AC3R, 18.72
Extended AC3R, 18.3
Extended AC3R, 17.2
Extended AC3R, 17.1
Extended AC3R, 17.3
Extended AC3R, 17.5
Extended AC3R, 17.0
Extended AC3R, 17.3
Extended AC3R, 17.1
Extended AC3R, 17.2
Extended AC3R, 17.3
Extended AC3R, 17.0
AC3R, 2.2
AC3R, 2.0
AC3R, 2.1
AC3R, 2.3
AC3R, 2.4
AC3R, 2.5
AC3R, 2.35
AC3R, 2.29
AC3R, 2.25
AC3R, 2.15